epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.4261,1.24178,3.55923,1.51669,0.55248,0.31704,0.33633,0.24051,1.01529,2.23363,1.38638,0.000132826,0.000132826,0.000132826
2,170.94,1.29579,2.58472,1.53852,0.46169,0.45346,0.4496,0.32314,1.02988,1.87449,1.33726,0.000263525,0.000263525,0.000263525
3,254.278,1.27235,2.34913,1.51036,0.44063,0.47189,0.4697,0.32372,1.1404,1.85158,1.43206,0.000391583,0.000391583,0.000391583
4,338.633,1.26596,2.13758,1.48743,0.64469,0.46843,0.53089,0.38241,1.03242,1.57176,1.36011,0.00038812,0.00038812,0.00038812
5,421.171,1.23275,2.00258,1.46366,0.60672,0.52646,0.55154,0.40185,1.00245,1.53267,1.33827,0.00038416,0.00038416,0.00038416
6,503.926,1.1867,1.89241,1.4369,0.61164,0.52948,0.56955,0.39998,1.03325,1.5911,1.34071,0.0003802,0.0003802,0.0003802
7,586.017,1.17554,1.77514,1.42661,0.64973,0.53669,0.59387,0.42648,1.02073,1.37202,1.34172,0.00037624,0.00037624,0.00037624
8,668.214,1.15828,1.72571,1.41143,0.70875,0.54408,0.63498,0.44397,1.03697,1.33331,1.33982,0.00037228,0.00037228,0.00037228
9,750.31,1.14474,1.63195,1.39806,0.6847,0.57196,0.63588,0.45218,1.03785,1.29039,1.37039,0.00036832,0.00036832,0.00036832
10,831.216,1.13036,1.58727,1.39125,0.67025,0.63327,0.66125,0.46709,0.99881,1.22954,1.32785,0.00036436,0.00036436,0.00036436
11,915.149,1.10319,1.54496,1.37258,0.65461,0.59099,0.65624,0.46926,0.99292,1.23502,1.30119,0.0003604,0.0003604,0.0003604
12,997.71,1.10318,1.4802,1.36568,0.70727,0.66899,0.71488,0.5263,0.90155,1.13705,1.25029,0.00035644,0.00035644,0.00035644
13,1080.01,1.09117,1.42868,1.36414,0.676,0.60924,0.69462,0.51018,0.89741,1.12937,1.25136,0.00035248,0.00035248,0.00035248
14,1163.62,1.08722,1.4074,1.36143,0.6919,0.64701,0.72047,0.5197,0.90243,1.07887,1.24695,0.00034852,0.00034852,0.00034852
15,1249.81,1.08524,1.3876,1.36378,0.6792,0.62413,0.67548,0.49248,0.94854,1.15569,1.28523,0.00034456,0.00034456,0.00034456
16,1332.28,1.07569,1.355,1.35144,0.72148,0.61594,0.70629,0.52465,0.87329,1.08663,1.21601,0.0003406,0.0003406,0.0003406
17,1414.58,1.06971,1.32742,1.33956,0.66354,0.68306,0.71619,0.52964,0.8775,1.01578,1.2426,0.00033664,0.00033664,0.00033664
18,1495.44,1.05704,1.28113,1.33254,0.77023,0.6288,0.7188,0.5313,0.8654,1.05157,1.22313,0.00033268,0.00033268,0.00033268
19,1578.38,1.04817,1.25664,1.33459,0.70032,0.68969,0.74314,0.5477,0.87847,0.96793,1.22419,0.00032872,0.00032872,0.00032872
20,1660.68,1.04245,1.2427,1.32856,0.77316,0.60877,0.72363,0.54247,0.86317,0.98221,1.2108,0.00032476,0.00032476,0.00032476
21,1742.2,1.04614,1.22307,1.32482,0.77298,0.65715,0.7483,0.54379,0.88231,0.96604,1.2313,0.0003208,0.0003208,0.0003208
22,1824.85,1.03367,1.19218,1.3205,0.77591,0.65151,0.75111,0.56207,0.84388,0.9126,1.20687,0.00031684,0.00031684,0.00031684
23,1905.95,1.01109,1.1517,1.30792,0.72049,0.71084,0.75522,0.5676,0.85249,0.9431,1.2147,0.00031288,0.00031288,0.00031288
24,1987.53,1.00146,1.13735,1.3002,0.75713,0.69871,0.77015,0.56968,0.84111,0.90546,1.21692,0.00030892,0.00030892,0.00030892
25,2070.64,1.00037,1.13528,1.29343,0.76704,0.66314,0.7394,0.55469,0.84271,0.99992,1.20145,0.00030496,0.00030496,0.00030496
26,2152.82,1.01503,1.13339,1.30498,0.7253,0.71855,0.76208,0.57787,0.84997,0.91702,1.21103,0.000301,0.000301,0.000301
27,2235.53,0.99385,1.09687,1.29095,0.70822,0.71411,0.75421,0.56422,0.83914,0.89691,1.2037,0.00029704,0.00029704,0.00029704
